person_key,event_name,gender,times,dates
58940,100 FR (SCY),F,"['54.93', '54.43', '53.59', '53.27', '54.93', '54.95', '53.59', '53.27', '56.19', '54.95', '53.59', '53.27', '56.19', '54.95', '53.59', '53.46', '56.19', '54.43', '53.59', '53.46', '56.19', '54.43', '53.59', '53.27', '54.93', '54.43', '53.59', '53.46', '54.93', '54.95', '53.59', '53.46']","['20131213', '20141205', '20151206', '20170325', '20131213', '20140228', '20151206', '20170325', '20130301', '20140228', '20151206', '20170325', '20130301', '20140228', '20151206', '20171203', '20130301', '20141205', '20151206', '20171203', '20130301', '20141205', '20151206', '20170325', '20131213', '20141205', '20151206', '20171203', '20131213', '20140228', '20151206', '20171203']"
58940,400 FR (LCM),F,"['287.98', '278.67', '284.41', '280.98']","['20130419', '20140729', '20150326', '20170623']"
58940,400 IM (SCY),F,"['281.73', '282.65', '274.51', '276.43', '281.73', '282.65', '272.17', '270.43', '285.84', '282.65', '272.17', '276.43', '281.73', '275.69', '274.51', '270.43', '285.84', '275.69', '274.51', '270.43', '281.73', '282.65', '274.51', '270.43', '285.84', '282.65', '274.51', '276.43', '285.84', '282.65', '274.51', '270.43', '285.84', '275.69', '274.51', '276.43', '281.73', '282.65', '272.17', '276.43', '281.73', '275.69', '272.17', '270.43', '285.84', '282.65', '272.17', '270.43', '285.84', '275.69', '272.17', '270.43', '285.84', '275.69', '272.17', '276.43', '281.73', '275.69', '272.17', '276.43', '281.73', '275.69', '274.51', '276.43']","['20131213', '20140117', '20150227', '20171202', '20131213', '20140117', '20151204', '20170324', '20130301', '20140117', '20151204', '20171202', '20131213', '20141205', '20150227', '20170324', '20130301', '20141205', '20150227', '20170324', '20131213', '20140117', '20150227', '20170324', '20130301', '20140117', '20150227', '20171202', '20130301', '20140117', '20150227', '20170324', '20130301', '20141205', '20150227', '20171202', '20131213', '20140117', '20151204', '20171202', '20131213', '20141205', '20151204', '20170324', '20130301', '20140117', '20151204', '20170324', '20130301', '20141205', '20151204', '20170324', '20130301', '20141205', '20151204', '20171202', '20131213', '20141205', '20151204', '20171202', '20131213', '20141205', '20150227', '20171202']"
58940,100 FR (LCM),F,"['63.24', '61.75', '62.56', '60.56', '63.24', '61.75', '63.52', '60.56']","['20130730', '20140801', '20151206', '20170802', '20130730', '20140801', '20150612', '20170802']"
58940,200 IM (SCY),F,"['137.05', '131.89', '130.69', '125.69', '137.05', '133.45', '129.77', '125.69', '135.81', '131.89', '130.69', '129.75', '137.05', '131.89', '130.69', '129.75', '137.05', '133.45', '130.69', '129.75', '135.81', '133.45', '130.69', '129.75', '135.81', '131.89', '129.77', '129.75', '137.05', '133.45', '130.69', '125.69', '137.05', '131.89', '129.77', '125.69', '135.81', '131.89', '129.77', '125.69', '135.81', '133.45', '129.77', '125.69', '135.81', '133.45', '130.69', '125.69', '135.81', '133.45', '129.77', '129.75', '137.05', '133.45', '129.77', '129.75', '137.05', '131.89', '129.77', '129.75', '135.81', '131.89', '130.69', '125.69']","['20130301', '20141207', '20151206', '20170322', '20130301', '20140215', '20150325', '20170322', '20131213', '20141207', '20151206', '20171201', '20130301', '20141207', '20151206', '20171201', '20130301', '20140215', '20151206', '20171201', '20131213', '20140215', '20151206', '20171201', '20131213', '20141207', '20150325', '20171201', '20130301', '20140215', '20151206', '20170322', '20130301', '20141207', '20150325', '20170322', '20131213', '20141207', '20150325', '20170322', '20131213', '20140215', '20150325', '20170322', '20131213', '20140215', '20151206', '20170322', '20131213', '20140215', '20150325', '20171201', '20130301', '20140215', '20150325', '20171201', '20130301', '20141207', '20150325', '20171201', '20131213', '20141207', '20151206', '20170322']"
58940,400 IM (LCM),F,"['325.9', '319.99', '322.17', '318.49', '325.9', '319.99', '323.64', '318.49']","['20130724', '20140710', '20150718', '20170714', '20130724', '20140710', '20151204', '20170714']"
58940,50 FR (LCM),F,"['29.33', '29.84', '28.34', '28.97']","['20130730', '20140628', '20150717', '20170715']"
58940,200 FR (LCM),F,"['133.73', '134.19', '134.75', '133.23', '133.73', '134.19', '133.42', '133.23']","['20130724', '20140729', '20151204', '20170624', '20130724', '20140729', '20150718', '20170624']"
58940,200 IM (LCM),F,"['153.51', '150.97', '153.23', '146.25', '153.51', '150.97', '149.13', '146.25']","['20130730', '20140729', '20151206', '20170805', '20130730', '20140729', '20150719', '20170805']"
59069,200 FR (SCY),F,"['122.68', '123.29', '123.24', '117.94']","['20130201', '20140131', '20150201', '20170215']"
59069,100 FR (SCY),F,"['55.02', '55.11', '54.76', '53.86']","['20130201', '20140131', '20150131', '20170216']"
59069,50 FR (SCY),F,"['25.13', '25.28', '24.92', '24.33']","['20130201', '20140131', '20150201', '20170214']"
60658,100 BR (SCY),F,"['71.17', '72.13', '71.29', '70.39']","['20121020', '20131108', '20141108', '20161105']"
60658,200 FL (SCY),F,"['134.07', '135.64', '135.4', '125.25']","['20121026', '20131025', '20141108', '20161104']"
60658,100 FR (SCY),F,"['55.97', '55.53', '56.09', '53.59']","['20121026', '20131025', '20141108', '20161028']"
60658,200 IM (SCY),F,"['136.09', '136.19', '135.25', '130.69']","['20121026', '20131025', '20141101', '20161104']"
60658,200 FR (SCY),F,"['120.38', '120.09', '120.92', '118.09']","['20121026', '20131025', '20141109', '20161119']"
60658,100 FL (SCY),F,"['61.08', '61.0', '60.08', '56.87']","['20121026', '20131019', '20141101', '20161104']"
60939,800 FR (LCM),F,"['559.88', '548.1', '544.28', '554.12', '559.88', '537.37', '544.28', '563.73', '544.65', '548.1', '533.9', '554.12', '559.88', '537.37', '544.28', '554.12', '544.65', '537.37', '544.28', '554.12', '544.65', '548.1', '533.9', '563.73', '544.65', '548.1', '544.28', '554.12', '544.65', '537.37', '533.9', '554.12', '559.88', '548.1', '533.9', '563.73', '544.65', '548.1', '544.28', '563.73', '559.88', '548.1', '533.9', '554.12', '544.65', '537.37', '533.9', '563.73', '544.65', '537.37', '544.28', '563.73', '559.88', '537.37', '533.9', '554.12', '559.88', '537.37', '533.9', '563.73', '559.88', '548.1', '544.28', '563.73']","['20130724', '20150328', '20160611', '20170709', '20130724', '20140722', '20160611', '20180602', '20140606', '20150328', '20150730', '20170709', '20130724', '20140722', '20160611', '20170709', '20140606', '20140722', '20160611', '20170709', '20140606', '20150328', '20150730', '20180602', '20140606', '20150328', '20160611', '20170709', '20140606', '20140722', '20150730', '20170709', '20130724', '20150328', '20150730', '20180602', '20140606', '20150328', '20160611', '20180602', '20130724', '20150328', '20150730', '20170709', '20140606', '20140722', '20150730', '20180602', '20140606', '20140722', '20160611', '20180602', '20130724', '20140722', '20150730', '20170709', '20130724', '20140722', '20150730', '20180602', '20130724', '20150328', '20160611', '20180602']"
